Number_of_Workers,Number_of_partial_siddhi_apps,DataRate,No of String Attributes in input Stream,No of float Attributes in input Stream,No of double Attributes in input Stream,No of int Attributes in input Stream,No of long Attributes in input Stream,ExternalTmeWindowSize(Sec),ExternalTimeBatch,TimeBatch,Integer operators,Aggregation function,In built functions,No of Select Operations,No of Insert Operators,No of From operators,Inner Streams,No of string extensions,No of email processor extensions,No of filter conditions,Throughput
0.125,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,209.105079
0.125,0.2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,403.098494
0.125,0.4,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,515.373114
0.125,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,717.240405
0.25,0.066667,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,245.984533
0.375,0.4,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,418.541109
0.5,0.2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,383.689758
0.5,0.4,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,696.223852
0.5,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,739.122153
0.625,0.4,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,407.409935
0.75,0.866667,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,618.980961
0.875,0.4,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,680.369361
0.875,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,416.076373
1,0.866667,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,751.702822
1,0.8,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,720.117774
1,0.866667,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,755.543405
0,0.333333,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,376.453025
0.25,0.333333,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,301.290178
0.125,0.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,135.298582
0.5,0.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,93.380695
0.875,0.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,91.77419
0.125,0.4,1,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,82.279494
0.5,0.4,1,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,174.594977
0.875,0.4,1,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,254.750917
